"title","channel_title","category_id","category_desc","views","likes","dislikes","comment_total","day","month"
"Real or FAKE ANIME?? Pt. 4 - HORROR EDITION! | Thomas Sanders","Thomas Sanders",23,"Comedy",310423,24997,310,5518,19,1
"EXTREME SOUR CANDY CHALLENGE *LIVE*","Rclbeauty101",24,"Entertainment",291099,12776,519,2492,19,1
"Russell's four RBIs lead Cubs to NLCS: 10/12/17","MLB",17,"Sports",521074,2643,881,2,19,1
"The US Military's Most Powerful Gun","Real Engineering",28,"Science & Technology",740821,18808,585,678,19,1
"The Fidget Spinner Phone Is Real...","Unbox Therapy",28,"Science & Technology",1259050,34880,2107,4403,19,1
"DOES IT COVER?! Coverproof 24hr+ Wunder2 Foundation {First Impression Review & Demo!}","thataylaa",26,"Howto & Style",183777,8348,243,678,19,1
"Crazy Lion Plays Fetch Like a Dog!","Cole and Marmalade",15,"Pets & Animals",376610,8214,240,111,19,1
"P!nk - Beautiful Trauma (Dance Video)","PinkVEVO",10,"Music",966711,34653,709,854,19,1
"Why Photos of the Eiffel Tower at Night are Illegal","Half as Interesting",27,"Education",2727912,46581,4956,6467,19,1
"The Front Bottoms: Peace Sign [OFFICIAL VIDEO]","Fueled By Ramen",10,"Music",184229,6655,328,496,19,1
"Avicii - Without You (Otto Knows Remix) ft. Sandro Cavazza","AviciiOfficialVEVO",10,"Music",677464,17379,310,842,19,1
"Where Do Our Drugs Come From?","MinuteEarth",28,"Science & Technology",311799,10929,217,27,19,1
"South Park on Harvey Weinstein","Donald Trump",22,"People & Blogs",276047,1477,106,6,19,1
"What Americans Heard in Cuba Attacks: The Sound","Associated Press",25,"News & Politics",753492,2795,2077,0,19,1
"Jessie J - Not My Ex","JessieJVEVO",10,"Music",3961722,180008,1928,6038,19,1
"GOODBYE FROM LONELY by SUPERFRUIT","SUPERFRUIT",24,"Entertainment",240246,21792,136,1298,19,1
"Chris Young - Where I Go When I Drink (Lyric Video)","ChrisYoungVEVO",10,"Music",185499,4978,79,126,19,1
"Imagine Dragons - Whatever It Takes","ImagineDragonsVEVO",10,"Music",11985474,611911,5252,28308,19,1
"House Speaker Paul Ryan Discusses President Donald Trump's Feuds With GOP | Morning Joe | MSNBC","MSNBC",25,"News & Politics",66533,345,276,62,19,1
"Halloween Pumpkin Message Board","DaveHax",26,"Howto & Style",184951,4019,201,29,19,1
"Kodaline - Ready to Change (Official Video)","KodalineVEVO",10,"Music",1193707,58119,447,2081,19,1
"Emma Thompson: Harvey Weinstein 'top of harassment ladder' - BBC Newsnight","BBC Newsnight",25,"News & Politics",836019,13714,1180,0,19,1
"PREGNANT LOOKING?! ASKING MY YOUNGER SELF","Liza Koshy",23,"Comedy",4989547,408649,3149,18257,19,1
"UFC 217: Bisping vs St-Pierre Toronto Press Conference","UFC - Ultimate Fighting Championship",17,"Sports",501776,4611,346,1969,19,1
