Amazon,,,,Starbucks,,,,Coca-Cola,,,,S&P 500,,,
date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return
2/29/2000,68.88,3.13,4.76,2/29/2000,3.8816,0.1182,3.14,2/29/2000,15.1934,-0.2125,-1.38,2/29/2000,98.0906,0.9367,0.96
3/1/2000,65.88,-3,-4.36,3/1/2000,3.8396,-0.042,-1.08,3/1/2000,15.9339,0.7405,4.87,3/1/2000,98.8043,0.7137,0.73
3/2/2000,62.56,-3.32,-5.04,3/2/2000,3.6739,-0.1657,-4.32,3/2/2000,15.5059,-0.428,-2.69,3/2/2000,98.8712,0.0669,0.07
3/3/2000,62.5,-0.06,-0.10,3/3/2000,4.1092,0.4353,11.85,3/3/2000,15.6621,0.1562,1.01,3/3/2000,100.7224,1.8512,1.87
3/6/2000,63.94,1.44,2.30,3/6/2000,3.9645,-0.1447,-3.52,3/6/2000,15.309,-0.3531,-2.25,3/6/2000,99.7411,-0.9813,-0.97
3/7/2000,63.5,-0.44,-0.69,3/7/2000,3.7711,-0.1934,-4.88,3/7/2000,14.7248,-0.5842,-3.82,3/7/2000,97.8118,-1.9293,-1.93
3/8/2000,63.63,0.13,0.20,3/8/2000,3.7435,-0.0276,-0.73,3/8/2000,14.8404,0.1156,0.79,3/8/2000,97.6892,-0.1226,-0.13
3/9/2000,68.81,5.18,8.14,3/9/2000,3.9921,0.2486,6.64,3/9/2000,14.6061,-0.2343,-1.58,3/9/2000,100.544,2.8548,2.92
3/10/2000,66.88,-1.93,-2.80,3/10/2000,3.9369,-0.0552,-1.38,3/10/2000,14.2155,-0.3906,-2.67,3/10/2000,100.0087,-0.5353,-0.53
3/13/2000,65.31,-1.57,-2.35,3/13/2000,3.8396,-0.0973,-2.47,3/13/2000,13.7219,-0.4936,-3.47,3/13/2000,98.9158,-1.0929,-1.09
3/14/2000,65.63,0.32,0.49,3/14/2000,3.6949,-0.1447,-3.77,3/14/2000,13.5839,-0.138,-1.01,3/14/2000,97.5107,-1.4051,-1.42
3/15/2000,63.75,-1.88,-2.86,3/15/2000,3.8882,0.1933,5.23,3/15/2000,14.9169,1.333,9.81,3/15/2000,99.7857,2.275,2.33
3/16/2000,66.25,2.5,3.92,3/16/2000,4.2407,0.3525,9.07,3/16/2000,15.6038,0.6869,4.60,3/16/2000,104.4471,4.6614,4.67
3/17/2000,64.81,-1.44,-2.17,3/17/2000,4.0949,-0.1458,-3.44,3/17/2000,15.4093,-0.1945,-1.25,3/17/2000,105.1357,0.6886,0.66
3/20/2000,64.19,-0.62,-0.96,3/20/2000,3.8882,-0.2067,-5.05,3/20/2000,15.2305,-0.1788,-1.16,3/20/2000,104.599,-0.5367,-0.51
