All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Jockeys - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Jockey Name,Starts,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3,Top 3 %,Racing Year
Edilberto Rodriguez,186,9,20,23,"$258,117.00","$1,388.00",5.00%,52,28.00%,2016
Coby J. Bourque,186,15,20,14,"$257,755.00","$1,386.00",8.00%,49,26.00%,2016
Edgar Orozco,184,20,22,27,"$257,155.00","$1,398.00",11.00%,69,38.00%,2016
Diego Sanchez,192,17,26,22,"$256,424.00","$1,336.00",9.00%,65,34.00%,2016
Christopher O. Torres,241,16,31,30,"$255,075.00","$1,058.00",7.00%,77,32.00%,2016
Abel Mariano,73,8,10,5,"$254,319.00","$3,484.00",11.00%,23,32.00%,2016
Andy Hernandez Sanchez,170,30,36,26,"$252,856.00","$1,487.00",18.00%,92,54.00%,2016
Adrian B. Ramos,187,25,27,27,"$251,061.00","$1,343.00",13.00%,79,42.00%,2016
Manuel Chaves,157,15,18,25,"$248,841.00","$1,585.00",10.00%,58,37.00%,2016
Luis Ramon Rodriguez,235,21,19,29,"$246,792.00","$1,050.00",9.00%,69,29.00%,2016
Juan E. Sanchez,171,21,18,26,"$245,175.00","$1,434.00",12.00%,65,38.00%,2016
Daniel Feliciano,104,12,12,10,"$245,134.00","$2,357.00",12.00%,34,33.00%,2016
Michael L. Wright III,264,17,21,31,"$243,633.00",$923.00,6.00%,69,26.00%,2016
Luis Figueroa,241,18,23,31,"$240,573.00",$998.00,7.00%,72,30.00%,2016
Victor Jadhir Bailon,331,18,31,40,"$237,045.00",$716.00,5.00%,89,27.00%,2016
Timothy Thornton,70,15,9,3,"$234,256.00","$3,347.00",21.00%,27,39.00%,2016
Cheyanna Patrick,107,8,17,17,"$233,501.00","$2,182.00",7.00%,42,39.00%,2016
"Rafael Mojica, Jr.",232,17,20,15,"$232,428.00","$1,002.00",7.00%,52,22.00%,2016
Ruben Lara,164,16,19,19,"$232,112.00","$1,415.00",10.00%,54,33.00%,2016
Larry Munoz,207,28,22,29,"$231,900.00","$1,120.00",14.00%,79,38.00%,2016
Christopher Griffith,151,23,17,29,"$231,528.00","$1,533.00",15.00%,69,46.00%,2016
J. C. Villanueva,232,12,8,30,"$231,426.00",$998.00,5.00%,50,22.00%,2016
Jordano Tunon,189,11,19,18,"$227,786.00","$1,205.00",6.00%,48,25.00%,2016
Jennifer Reid,231,18,25,42,"$226,076.00",$979.00,8.00%,85,37.00%,2016
Jose Mariano Asencio,180,14,25,25,"$226,030.00","$1,256.00",8.00%,64,36.00%,2016
Charle Oliveros,363,26,31,46,"$225,891.00",$622.00,7.00%,103,28.00%,2016
Christian M. Aragon,166,27,21,21,"$225,878.00","$1,361.00",16.00%,69,42.00%,2016
Odilon Martinez,283,11,21,30,"$224,197.00",$792.00,4.00%,62,22.00%,2016
"Pedro Monterrey, Jr.",180,15,13,11,"$224,177.00","$1,245.00",8.00%,39,22.00%,2016
Olaf Hernandez,182,14,11,22,"$224,034.00","$1,231.00",8.00%,47,26.00%,2016
Cheryl Charlton,150,30,28,23,"$221,500.00","$1,477.00",20.00%,81,54.00%,2016
Alexis Valdes,296,17,23,37,"$219,680.00",$742.00,6.00%,77,26.00%,2016
Erika Micklos,96,17,10,9,"$218,477.00","$2,276.00",18.00%,36,38.00%,2016
Rafael Zenteno Jr.,150,17,17,31,"$217,977.00","$1,453.00",11.00%,65,43.00%,2016
Raul Mena,149,12,13,18,"$217,315.00","$1,458.00",8.00%,43,29.00%,2016
Jose Angel Medina,149,11,23,13,"$216,877.00","$1,456.00",7.00%,47,32.00%,2016
Wayne A. Barnett,181,26,26,17,"$212,221.00","$1,172.00",14.00%,69,38.00%,2016
John Keith Lejeune,185,22,25,29,"$211,354.00","$1,142.00",12.00%,76,41.00%,2016
Tommy Wong,114,10,7,13,"$211,192.00","$1,853.00",9.00%,30,26.00%,2016
Sergio Figueroa,290,18,31,34,"$210,436.00",$726.00,6.00%,83,29.00%,2016
Tyrone Nelson,180,25,26,18,"$210,012.00","$1,167.00",14.00%,69,38.00%,2016
Carlos D Camilo,207,15,19,29,"$209,113.00","$1,010.00",7.00%,63,30.00%,2016
Katie Crews,201,7,19,16,"$207,734.00","$1,034.00",3.00%,42,21.00%,2016
Chin C. Yang,184,17,19,23,"$207,717.00","$1,129.00",9.00%,59,32.00%,2016
Renny J. Arrieta,178,18,28,19,"$207,176.00","$1,164.00",10.00%,65,37.00%,2016
Dyn Panell,59,4,6,10,"$206,365.00","$3,498.00",7.00%,20,34.00%,2016
Trevor Simpson,156,26,25,13,"$203,588.00","$1,305.00",17.00%,64,41.00%,2016
Natalie Turner,224,18,18,25,"$203,415.00",$908.00,8.00%,61,27.00%,2016
Jose L. Torres,179,13,18,25,"$201,557.00","$1,126.00",7.00%,56,31.00%,2016
Gary L. Boag,202,18,23,34,"$201,455.00",$997.00,9.00%,75,37.00%,2016
David A. Martin,203,12,25,27,"$199,625.00",$983.00,6.00%,64,32.00%,2016
Romario Saunders,131,16,11,18,"$199,425.00","$1,522.00",12.00%,45,34.00%,2016
Wyatt Louviere,146,11,2,15,"$199,200.00","$1,364.00",8.00%,28,19.00%,2016
Jason Simpson,232,14,15,29,"$198,861.00",$857.00,6.00%,58,25.00%,2016
Kris Fox,162,14,6,31,"$198,495.00","$1,225.00",9.00%,51,31.00%,2016
Yutaka Take,3,0,0,1,"$195,000.00","$65,000.00",0.00%,1,33.00%,2016
Luis A. Castillo,152,6,10,15,"$193,469.00","$1,273.00",4.00%,31,20.00%,2016
Jane M. Magrell,189,11,14,13,"$193,190.00","$1,022.00",6.00%,38,20.00%,2016
Kevin Gonzalez,326,14,18,32,"$192,097.00",$589.00,4.00%,64,20.00%,2016
Jorge G. Robles,305,22,41,45,"$191,933.00",$629.00,7.00%,108,35.00%,2016
Francisco Z. Maysonett,123,3,13,13,"$190,784.00","$1,551.00",2.00%,29,24.00%,2016
Anne Sanguinetti,58,3,12,10,"$187,449.00","$3,232.00",5.00%,25,43.00%,2016
Scott A. Bethke,177,13,18,17,"$186,976.00","$1,056.00",7.00%,48,27.00%,2016
Kelsi Purcell,208,25,10,19,"$186,677.00",$897.00,12.00%,54,26.00%,2016
Kevin Mendez,145,11,9,14,"$185,808.00","$1,281.00",8.00%,34,23.00%,2016
Natasha Coddington,187,19,21,29,"$185,198.00",$990.00,10.00%,69,37.00%,2016
Marcial Ramirez,182,17,20,35,"$181,720.00",$998.00,9.00%,72,40.00%,2016
Jeffery Burningham,139,12,23,13,"$181,409.00","$1,305.00",9.00%,48,35.00%,2016
Eliska Kubinova,125,33,20,27,"$179,414.00","$1,435.00",26.00%,80,64.00%,2016
Eric Vera Rodriguez,52,6,6,5,"$179,318.00","$3,448.00",12.00%,17,33.00%,2016
Efren Prado,264,31,29,35,"$178,100.00",$675.00,12.00%,95,36.00%,2016
Juan A. Larrosa,165,12,20,15,"$177,821.00","$1,078.00",7.00%,47,28.00%,2016
Federico Mata,180,17,33,27,"$176,988.00",$983.00,9.00%,77,43.00%,2016
Jose Anibal Hernandez,316,21,42,41,"$175,071.00",$554.00,7.00%,104,33.00%,2016
Sheldon Russell,47,5,7,8,"$174,414.00","$3,711.00",11.00%,20,43.00%,2016
Felix Salgado,2,1,0,0,"$174,000.00","$87,000.00",50.00%,1,50.00%,2016
Sahin Civaci,147,9,22,16,"$171,128.00","$1,164.00",6.00%,47,32.00%,2016
Isaias Cardenas,138,10,18,22,"$170,845.00","$1,238.00",7.00%,50,36.00%,2016
Addiel J. Ayala,115,7,15,11,"$170,446.00","$1,482.00",6.00%,33,29.00%,2016
"Luis Romero Rivera, Jr.",85,6,11,11,"$170,066.00","$2,001.00",7.00%,28,33.00%,2016
Kevin E. Orozco,121,8,14,19,"$170,031.00","$1,405.00",7.00%,41,34.00%,2016
Nicolle Disdier,240,18,25,24,"$169,279.00",$705.00,8.00%,67,28.00%,2016
Godofredo Laurente,170,16,17,25,"$168,887.00",$993.00,9.00%,58,34.00%,2016
Katie Clawson,79,6,9,13,"$168,837.00","$2,137.00",8.00%,28,35.00%,2016
Gary Wales,151,11,11,12,"$167,635.00","$1,110.00",7.00%,34,23.00%,2016
Felipe F. Martinez,94,8,5,10,"$166,677.00","$1,773.00",9.00%,23,24.00%,2016
Justin Stein,33,4,6,6,"$166,558.00","$5,047.00",12.00%,16,48.00%,2016
Jimmy Ray Coates,261,12,12,22,"$166,340.00",$637.00,5.00%,46,18.00%,2016
"Jose L. Rivera, Jr.",148,20,13,26,"$165,583.00","$1,119.00",14.00%,59,40.00%,2016
Casey R. Chavez,122,10,12,20,"$165,493.00","$1,357.00",8.00%,42,34.00%,2016
Ivan Cruz,186,8,13,31,"$164,914.00",$887.00,4.00%,52,28.00%,2016
Christopher John Baker,70,7,8,4,"$164,669.00","$2,352.00",10.00%,19,27.00%,2016
Israel O. Rodriguez,223,25,24,35,"$164,648.00",$738.00,11.00%,84,38.00%,2016
Ruben Fuentes,172,16,28,28,"$164,601.00",$957.00,9.00%,72,42.00%,2016
Carlos Villasana,140,11,6,19,"$164,525.00","$1,175.00",8.00%,36,26.00%,2016
David Garcia,66,6,10,3,"$164,081.00","$2,486.00",9.00%,19,29.00%,2016
Theodrick Ledet,186,10,13,21,"$162,885.00",$876.00,5.00%,44,24.00%,2016
Efigenio Garcia Ruiz,148,15,17,14,"$162,519.00","$1,098.00",10.00%,46,31.00%,2016
Kevin Radke,45,9,4,5,"$162,373.00","$3,608.00",20.00%,18,40.00%,2016
John W. Lloyd,60,10,10,10,"$162,292.00","$2,705.00",17.00%,30,50.00%,2016
Travis Wales,126,9,10,18,"$161,344.00","$1,281.00",7.00%,37,29.00%,2016
Julie Burke,172,13,18,12,"$161,340.00",$938.00,8.00%,43,25.00%,2016
Cerapio Figueroa,189,12,15,17,"$160,459.00",$849.00,6.00%,44,23.00%,2016
Kennel L. Pellot,165,23,23,28,"$160,260.00",$971.00,14.00%,74,45.00%,2016
Josean Rivera,183,9,11,13,"$159,365.00",$871.00,5.00%,33,18.00%,2016
Domingo Chacaltana,181,10,22,34,"$157,445.00",$870.00,6.00%,66,36.00%,2016
Caitlyn Stoddard,95,7,8,16,"$156,880.00","$1,651.00",7.00%,31,33.00%,2016
Minor Arana,160,14,27,19,"$155,970.00",$975.00,9.00%,60,38.00%,2016
Francisco Diaz-Lopez,254,24,15,30,"$155,912.00",$614.00,9.00%,69,27.00%,2016
Jose Antonio Rodriguez,164,8,15,11,"$155,736.00",$950.00,5.00%,34,21.00%,2016
Eric Edwards,155,9,15,18,"$155,087.00","$1,001.00",6.00%,42,27.00%,2016
Mike Holmes,131,24,11,22,"$154,917.00","$1,183.00",18.00%,57,44.00%,2016
Dean Joseph Frates,102,9,9,13,"$154,156.00","$1,511.00",9.00%,31,30.00%,2016
Isais Nunez,173,10,20,21,"$153,895.00",$890.00,6.00%,51,29.00%,2016
Ajhari Williams,179,14,22,17,"$153,864.00",$860.00,8.00%,53,30.00%,2016
Alvaro Donis,127,9,10,5,"$153,070.00","$1,205.00",7.00%,24,19.00%,2016
Kristopher Robinson,95,15,16,15,"$152,931.00","$1,610.00",16.00%,46,48.00%,2016
Larry Gamez,119,18,4,13,"$152,244.00","$1,279.00",15.00%,35,29.00%,2016
Juan Carlos Arosemena,115,5,9,8,"$151,876.00","$1,321.00",4.00%,22,19.00%,2016
Nicholas Meza,173,12,13,16,"$151,560.00",$876.00,7.00%,41,24.00%,2016
Brian L. Hollingsworth,144,11,11,14,"$150,229.00","$1,043.00",8.00%,36,25.00%,2016
Zack Ziegler,248,33,43,39,"$150,101.00",$605.00,13.00%,115,46.00%,2016
Rafael Zenteno,186,15,26,21,"$147,720.00",$794.00,8.00%,62,33.00%,2016
Emile Ramsammy,89,5,7,11,"$147,575.00","$1,658.00",6.00%,23,26.00%,2016
Mike T. Luark,300,15,23,36,"$147,318.00",$491.00,5.00%,74,25.00%,2016
Rayan Gazader,116,5,13,15,"$146,470.00","$1,263.00",4.00%,33,28.00%,2016
Helen Marie Vanek,103,17,14,11,"$145,139.00","$1,409.00",17.00%,42,41.00%,2016
Osvaldo Gonzalez,197,14,22,25,"$144,167.00",$732.00,7.00%,61,31.00%,2016
Jenna Joubert,64,3,17,9,"$144,114.00","$2,252.00",5.00%,29,45.00%,2016
Patrick Canchari,143,11,17,14,"$143,369.00","$1,003.00",8.00%,42,29.00%,2016
Brooke Stillion,209,15,19,23,"$143,139.00",$685.00,7.00%,57,27.00%,2016
Pedro Gonzalez,147,20,27,22,"$142,773.00",$971.00,14.00%,69,47.00%,2016
Oscar Ceballos,84,10,18,11,"$142,365.00","$1,695.00",12.00%,39,46.00%,2016
Javier Matias Barajas,94,13,20,19,"$141,750.00","$1,508.00",14.00%,52,55.00%,2016
Carson Sullivan,106,9,5,18,"$139,581.00","$1,317.00",8.00%,32,30.00%,2016
Mauricio Rodriguez,162,11,9,17,"$139,060.00",$858.00,7.00%,37,23.00%,2016
Jarred Journet,169,6,13,16,"$138,144.00",$817.00,4.00%,35,21.00%,2016
Tyler Walker,175,22,24,29,"$138,099.00",$789.00,13.00%,75,43.00%,2016
Luis Flores Gonzalez,201,16,23,27,"$138,064.00",$687.00,8.00%,66,33.00%,2016
Alvaro Hernandez-Lopez,114,9,9,12,"$137,820.00","$1,209.00",8.00%,30,26.00%,2016
Bryce A. Alderson,125,9,22,13,"$136,872.00","$1,095.00",7.00%,44,35.00%,2016
Nicholas J. Petro,51,7,11,9,"$136,597.00","$2,678.00",14.00%,27,53.00%,2016
Garrett Steinberg,101,6,11,8,"$136,015.00","$1,347.00",6.00%,25,25.00%,2016
Cindy Soto,220,22,27,21,"$135,747.00",$617.00,10.00%,70,32.00%,2016
Adan Fuentes,130,13,12,11,"$135,571.00","$1,043.00",10.00%,36,28.00%,2016
Jennifer Whitaker,97,15,16,15,"$134,194.00","$1,383.00",15.00%,46,47.00%,2016
Jermaine Burke,51,5,4,7,"$134,148.00","$2,630.00",10.00%,16,31.00%,2016
Williams Naupac,97,9,5,6,"$133,009.00","$1,371.00",9.00%,20,21.00%,2016
Luis H. Munar,101,9,14,10,"$132,359.00","$1,310.00",9.00%,33,33.00%,2016
Carlos Joan Ulloa,107,11,19,13,"$132,229.00","$1,236.00",10.00%,43,40.00%,2016
Vince J. Guerra,138,10,20,23,"$131,963.00",$956.00,7.00%,53,38.00%,2016
Carlos M. Marquez,170,8,14,22,"$130,810.00",$769.00,5.00%,44,26.00%,2016
Glenmore W. Mayhew,160,16,16,19,"$130,562.00",$816.00,10.00%,51,32.00%,2016
Pablo L. Rodriguez,189,8,20,25,"$128,403.00",$679.00,4.00%,53,28.00%,2016
Neville Stephenson,241,30,46,39,"$128,042.00",$531.00,12.00%,115,48.00%,2016
Victor Urieta-Moran,98,10,12,13,"$127,975.00","$1,306.00",10.00%,35,36.00%,2016
Nicasio Gonzalez,155,3,10,26,"$127,245.00",$821.00,2.00%,39,25.00%,2016
Larris Allen,132,30,23,26,"$124,752.00",$945.00,23.00%,79,60.00%,2016
Alex Gonzalez,119,5,13,14,"$124,202.00","$1,044.00",4.00%,32,27.00%,2016
Ivan R. Gonzalez,82,8,8,10,"$124,118.00","$1,514.00",10.00%,26,32.00%,2016
Emanuel Ramirez,118,15,11,10,"$123,976.00","$1,051.00",13.00%,36,31.00%,2016
Javier Rivera,114,6,11,10,"$123,451.00","$1,083.00",5.00%,27,24.00%,2016
Jairo Rodriguez,114,9,7,10,"$123,172.00","$1,080.00",8.00%,26,23.00%,2016
Bruno Panicucci,60,3,6,8,"$121,545.00","$2,026.00",5.00%,17,28.00%,2016
Robert Burney,186,27,30,36,"$121,457.00",$653.00,15.00%,93,50.00%,2016
Kerwin John,89,1,9,8,"$119,989.00","$1,348.00",1.00%,18,20.00%,2016
Larry Mejias,61,5,5,9,"$119,777.00","$1,964.00",8.00%,19,31.00%,2016
Paul Francis,126,11,18,16,"$119,750.00",$950.00,9.00%,45,36.00%,2016
Brittany A. Vanden Berg,108,17,17,17,"$119,057.00","$1,102.00",16.00%,51,47.00%,2016
Alex Jimenez,62,9,11,10,"$119,057.00","$1,920.00",15.00%,30,48.00%,2016
Rito Almanza,65,3,5,8,"$117,425.00","$1,807.00",5.00%,16,25.00%,2016
Carl S. Williams,159,13,19,15,"$116,725.00",$734.00,8.00%,47,30.00%,2016
Fanny Crausaz,99,6,4,12,"$116,496.00","$1,177.00",6.00%,22,22.00%,2016
Jan Carlos Suarez,237,11,23,34,"$115,766.00",$488.00,5.00%,68,29.00%,2016
Carlos Lozada,138,11,14,17,"$114,761.00",$832.00,8.00%,42,30.00%,2016
Kayla Stra,43,4,4,5,"$113,386.00","$2,637.00",9.00%,13,30.00%,2016
Brandon A. Duchaine,95,6,14,14,"$111,114.00","$1,170.00",6.00%,34,36.00%,2016
Tony Maragh,83,7,3,8,"$110,815.00","$1,335.00",8.00%,18,22.00%,2016
Jose Emilio Gomez,97,7,9,17,"$110,486.00","$1,139.00",7.00%,33,34.00%,2016
Carlos D. Madeira,49,6,5,7,"$109,388.00","$2,232.00",12.00%,18,37.00%,2016
Andre Martin,124,11,15,12,"$108,457.00",$875.00,9.00%,38,31.00%,2016
Jorge Ruiz,77,4,9,8,"$107,400.00","$1,395.00",5.00%,21,27.00%,2016
Cassidy Clerisse,123,5,9,20,"$106,687.00",$867.00,4.00%,34,28.00%,2016
Matt S. Garcia,57,10,9,10,"$106,680.00","$1,872.00",18.00%,29,51.00%,2016
Jeff Smith,201,7,14,31,"$105,375.00",$524.00,3.00%,52,26.00%,2016
Ken A. Shino,129,9,13,14,"$103,722.00",$804.00,7.00%,36,28.00%,2016
Carlos Quinones,197,12,19,24,"$103,241.00",$524.00,6.00%,55,28.00%,2016
Lori Keith,104,11,11,8,"$102,752.00",$988.00,11.00%,30,29.00%,2016
Rey Williams,135,13,15,13,"$102,594.00",$760.00,10.00%,41,30.00%,2016
Tim Moccasin,163,33,24,21,"$102,177.00",$627.00,20.00%,78,48.00%,2016
Junior Chacaltana,87,6,9,13,"$101,539.00","$1,167.00",7.00%,28,32.00%,2016
Jose O. Rocha,113,23,25,22,"$101,365.00",$897.00,20.00%,70,62.00%,2016
E. M. Murray,105,3,11,14,"$101,321.00",$965.00,3.00%,28,27.00%,2016
Luis E. Arango,3,1,1,0,"$99,469.00","$33,156.00",33.00%,2,67.00%,2016
Daniel Aguilar,102,26,19,10,"$99,306.00",$974.00,25.00%,55,54.00%,2016
Cecily Evans,76,6,4,5,"$99,026.00","$1,303.00",8.00%,15,20.00%,2016
Wilson Omar Dieguez,116,7,18,15,"$98,715.00",$851.00,6.00%,40,34.00%,2016
Eulices Gomez,62,8,14,9,"$98,060.00","$1,582.00",13.00%,31,50.00%,2016
Kelly R. Spanabel,177,9,12,22,"$97,772.00",$552.00,5.00%,43,24.00%,2016
Richard W. Oliver,95,7,7,13,"$97,315.00","$1,024.00",7.00%,27,28.00%,2016
Giuseppe Ercegovic,39,2,8,4,"$97,176.00","$2,492.00",5.00%,14,36.00%,2016
Jason Nguyen,76,2,6,5,"$97,098.00","$1,278.00",3.00%,13,17.00%,2016
Jodeien Anderson,169,26,23,33,"$96,504.00",$571.00,15.00%,82,49.00%,2016
Gilberto Santiago,183,11,9,14,"$96,364.00",$527.00,6.00%,34,19.00%,2016
Argelio Velazquez,169,11,17,18,"$95,729.00",$566.00,7.00%,46,27.00%,2016
Luis Gabriel Villanueva,68,1,6,5,"$95,415.00","$1,403.00",1.00%,12,18.00%,2016
Don Lee French,273,7,14,21,"$95,050.00",$348.00,3.00%,42,15.00%,2016
Bradley D. Wilson,66,11,5,11,"$94,255.00","$1,428.00",17.00%,27,41.00%,2016
Erick Garcia,115,9,14,12,"$93,827.00",$816.00,8.00%,35,30.00%,2016
Manuel Aguilar,87,6,6,5,"$93,280.00","$1,072.00",7.00%,17,20.00%,2016
Ryan Barber,86,9,6,4,"$92,931.00","$1,081.00",10.00%,19,22.00%,2016
Daniel Gopie,121,28,12,9,"$92,658.00",$766.00,23.00%,49,40.00%,2016
Luis Medina,94,9,8,7,"$91,598.00",$974.00,10.00%,24,26.00%,2016
Miguel A. Sanchez,151,7,15,23,"$91,287.00",$605.00,5.00%,45,30.00%,2016
Blandford Stewart,116,18,20,22,"$90,939.00",$784.00,16.00%,60,52.00%,2016
Rakeem Pauling,118,12,8,12,"$89,830.00",$761.00,10.00%,32,27.00%,2016
Christopher J. McIntosh,67,4,5,10,"$89,510.00","$1,336.00",6.00%,19,28.00%,2016
Joseph Berrios,69,4,5,7,"$89,288.00","$1,294.00",6.00%,16,23.00%,2016
Jacqueline Leslie Falk,52,2,6,6,"$88,927.00","$1,710.00",4.00%,14,27.00%,2016
Isabelle C. Wenc,102,11,9,9,"$88,594.00",$869.00,11.00%,29,28.00%,2016
Jose M. Davila,138,10,14,11,"$88,583.00",$642.00,7.00%,35,25.00%,2016
Mauro Salcedo,148,7,16,18,"$87,210.00",$589.00,5.00%,41,28.00%,2016
Vladimir Diaz,64,5,4,10,"$86,411.00","$1,350.00",8.00%,19,30.00%,2016
Cassandra Naupac,78,8,5,8,"$86,187.00","$1,105.00",10.00%,21,27.00%,2016
Gabriel Garcia Asencio,73,11,8,8,"$85,565.00","$1,172.00",15.00%,27,37.00%,2016
Alex Estrada,50,5,6,3,"$84,476.00","$1,690.00",10.00%,14,28.00%,2016
Gerber Pivaral,93,5,8,4,"$84,347.00",$907.00,5.00%,17,18.00%,2016
Victor Severino,119,7,6,6,"$83,653.00",$703.00,6.00%,19,16.00%,2016
Abner Adorno,140,11,17,18,"$81,638.00",$583.00,8.00%,46,33.00%,2016
"Wilfredo L. Lozano, Jr.",118,8,6,10,"$79,425.00",$673.00,7.00%,24,20.00%,2016
Jerry Pruitt,97,8,11,13,"$79,379.00",$818.00,8.00%,32,33.00%,2016
Eddie Dominguez,98,3,3,12,"$79,013.00",$806.00,3.00%,18,18.00%,2016
Jose A. Guerrero,211,20,31,30,"$78,721.00",$373.00,9.00%,81,38.00%,2016
Corey Mongan,123,2,5,8,"$77,355.00",$629.00,2.00%,15,12.00%,2016
Chase Clark,95,4,8,5,"$74,925.00",$789.00,4.00%,17,18.00%,2016
Javour M. Simpson,108,8,15,12,"$74,267.00",$688.00,7.00%,35,32.00%,2016
"Jose Osorio, Jr.",96,11,13,10,"$74,143.00",$772.00,11.00%,34,35.00%,2016
Terry Husbands,51,4,6,4,"$74,040.00","$1,452.00",8.00%,14,27.00%,2016
Jomar Ortega,35,3,4,6,"$72,800.00","$2,080.00",9.00%,13,37.00%,2016
Jose R. Betancourt,62,2,2,5,"$72,374.00","$1,167.00",3.00%,9,15.00%,2016
Richard E. Lull,121,13,16,11,"$72,176.00",$596.00,11.00%,40,33.00%,2016
Emanuel Cosme,21,2,1,1,"$72,005.00","$3,429.00",10.00%,4,19.00%,2016
"James Westley Wooten, Jr.",158,8,17,12,"$70,199.00",$444.00,5.00%,37,23.00%,2016
Caroline Quast,85,4,10,8,"$69,714.00",$820.00,5.00%,22,26.00%,2016
Ameth Gonzalez,49,3,7,3,"$68,934.00","$1,407.00",6.00%,13,27.00%,2016
Victor Escobar,80,5,3,9,"$68,382.00",$855.00,6.00%,17,21.00%,2016
Anastasios Chalaris,79,6,10,10,"$68,350.00",$865.00,8.00%,26,33.00%,2016
Martin Ramos Ramirez,43,5,1,6,"$68,249.00","$1,587.00",12.00%,12,28.00%,2016
Slade Callaghan,30,2,3,2,"$68,153.00","$2,272.00",7.00%,7,23.00%,2016
Barrington Harvey,59,6,3,4,"$68,068.00","$1,154.00",10.00%,13,22.00%,2016
Juan R. Torres,69,2,6,9,"$67,831.00",$983.00,3.00%,17,25.00%,2016
Alberto Pusac,62,3,3,4,"$67,682.00","$1,092.00",5.00%,10,16.00%,2016
Francisco Arrieta,43,0,5,4,"$67,385.00","$1,567.00",0.00%,9,21.00%,2016
Gary Richards,19,2,2,3,"$66,386.00","$3,494.00",11.00%,7,37.00%,2016
Eli Samuel Rosa,40,2,3,3,"$66,357.00","$1,659.00",5.00%,8,20.00%,2016
Salvador Iniguez,90,5,4,11,"$66,245.00",$736.00,6.00%,20,22.00%,2016
Shavon Belle,89,8,17,8,"$66,222.00",$744.00,9.00%,33,37.00%,2016
Aubrie Green,109,10,13,13,"$65,960.00",$605.00,9.00%,36,33.00%,2016
Katlin E. Bedford,133,7,7,20,"$65,625.00",$493.00,5.00%,34,26.00%,2016
Anna Carrow,50,2,6,6,"$65,492.00","$1,310.00",4.00%,14,28.00%,2016
Mario Velazquez,82,5,10,4,"$65,317.00",$797.00,6.00%,19,23.00%,2016
Hiram G. Rivera,29,1,4,2,"$65,160.00","$2,247.00",3.00%,7,24.00%,2016
Kyle Gilbert,168,6,8,8,"$65,093.00",$387.00,4.00%,22,13.00%,2016
Ezequiel Rivera,90,2,5,9,"$64,405.00",$716.00,2.00%,16,18.00%,2016
David T. Ortiz,159,7,10,18,"$64,336.00",$405.00,4.00%,35,22.00%,2016
Louis Zacherle,146,21,21,20,"$64,323.00",$441.00,14.00%,62,42.00%,2016
Fernando Manuel Gamez,103,21,15,13,"$63,925.00",$621.00,20.00%,49,48.00%,2016
"Octavio Vergara, Jr.",19,4,2,1,"$63,510.00","$3,343.00",21.00%,7,37.00%,2016
Stanley Chadee Jr.,123,18,26,12,"$63,418.00",$516.00,15.00%,56,46.00%,2016
V. L. Smith,50,6,2,1,"$63,330.00","$1,267.00",12.00%,9,18.00%,2016
Michael C. James,122,5,4,24,"$63,225.00",$518.00,4.00%,33,27.00%,2016
Isaac Barahona,70,3,6,7,"$63,187.00",$903.00,4.00%,16,23.00%,2016
Andres Sanchez III,134,0,8,10,"$62,934.00",$470.00,0.00%,18,13.00%,2016
Devon Johnson,63,3,0,5,"$62,766.00",$996.00,5.00%,8,13.00%,2016
Keiber Rengifo,68,3,3,8,"$61,851.00",$910.00,4.00%,14,21.00%,2016
Benjamin Lewis,95,4,5,17,"$61,725.00",$650.00,4.00%,26,27.00%,2016
James S. Vail,47,4,3,4,"$61,060.00","$1,299.00",9.00%,11,23.00%,2016
Giorgio Moreno-Herrera,92,4,8,12,"$60,860.00",$662.00,4.00%,24,26.00%,2016
Mario E. Fernandez,51,4,0,3,"$60,635.00","$1,189.00",8.00%,7,14.00%,2016
Alberto Soto Morales,119,7,12,11,"$60,186.00",$506.00,6.00%,30,25.00%,2016
Nathaniel Puello,22,3,2,2,"$60,175.00","$2,735.00",14.00%,7,32.00%,2016
Angel Suarez,50,3,3,4,"$59,850.00","$1,197.00",6.00%,10,20.00%,2016
Eduardo Gutierrez-Sosa,143,20,23,16,"$59,497.00",$416.00,14.00%,59,41.00%,2016
Modesto Linares,31,1,3,6,"$58,677.00","$1,893.00",3.00%,10,32.00%,2016
Jose E. Lopez,37,3,5,3,"$58,365.00","$1,577.00",8.00%,11,30.00%,2016
Teneca Wolfe-Bell,65,6,5,4,"$58,296.00",$897.00,9.00%,15,23.00%,2016
Mohamed Osman,71,2,6,7,"$57,929.00",$816.00,3.00%,15,21.00%,2016
Arny E. Fontanez,38,5,3,5,"$57,639.00","$1,517.00",13.00%,13,34.00%,2016
Carlos D. Lugo,18,5,1,3,"$57,556.00","$3,198.00",28.00%,9,50.00%,2016
Arturo Aparicio,101,5,3,6,"$57,159.00",$566.00,5.00%,14,14.00%,2016
MarkLee Z. Buchanan,75,4,5,1,"$56,217.00",$750.00,5.00%,10,13.00%,2016
Pedro V. Alvarado,35,2,7,5,"$55,215.00","$1,578.00",6.00%,14,40.00%,2016
Richard Mitchell,62,3,3,5,"$54,060.00",$872.00,5.00%,11,18.00%,2016
