All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Jockeys - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Jockey Name,Starts,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3,Top 3 %,Racing Year
Steve J. Bourque,631,94,68,89,"$1,692,854.00","$2,683.00",15.00%,251,40.00%,2016
Silvestre Gonzalez,561,62,67,70,"$1,692,076.00","$3,016.00",11.00%,199,35.00%,2016
Huber Villa-Gomez,592,77,79,102,"$1,676,468.00","$2,832.00",13.00%,258,44.00%,2016
Christian Hiraldo,581,95,99,83,"$1,674,791.00","$2,883.00",16.00%,277,48.00%,2016
Dean P. Butler,487,89,82,78,"$1,653,935.00","$3,396.00",18.00%,249,51.00%,2016
Richard A. Bracho,446,82,63,75,"$1,636,231.00","$3,669.00",18.00%,220,49.00%,2016
Eddie Castro,381,52,50,53,"$1,613,942.00","$4,236.00",14.00%,155,41.00%,2016
Angel Cruz,314,48,49,50,"$1,610,753.00","$5,130.00",15.00%,147,47.00%,2016
Abel Cedillo,570,102,103,84,"$1,599,561.00","$2,806.00",18.00%,289,51.00%,2016
Orlando Mojica,644,96,78,90,"$1,598,342.00","$2,482.00",15.00%,264,41.00%,2016
Aaron T. Gryder,281,19,40,37,"$1,593,987.00","$5,673.00",7.00%,96,34.00%,2016
Harry Hernandez,668,94,98,95,"$1,583,625.00","$2,371.00",14.00%,287,43.00%,2016
John Bisono,306,38,37,35,"$1,578,587.00","$5,159.00",12.00%,110,36.00%,2016
Brian Pedroza,270,58,52,40,"$1,578,374.00","$5,846.00",21.00%,150,56.00%,2016
Luis E. Perez,624,117,106,116,"$1,552,285.00","$2,488.00",19.00%,339,54.00%,2016
Rocco Bowen,769,148,133,103,"$1,545,059.00","$2,009.00",19.00%,384,50.00%,2016
Jose C. Ferrer,413,64,73,52,"$1,537,996.00","$3,724.00",15.00%,189,46.00%,2016
Leandro D. Goncalves,563,74,78,64,"$1,536,329.00","$2,729.00",13.00%,216,38.00%,2016
Luis H. Colon,311,86,54,43,"$1,528,724.00","$4,916.00",28.00%,183,59.00%,2016
Santo Sanjur,631,93,121,90,"$1,515,993.00","$2,403.00",15.00%,304,48.00%,2016
Lane J. Luzzi,501,59,64,73,"$1,509,819.00","$3,014.00",12.00%,196,39.00%,2016
Ricardo Feliciano,432,75,70,73,"$1,488,878.00","$3,446.00",17.00%,218,50.00%,2016
Luca Panici,412,51,63,56,"$1,480,095.00","$3,592.00",12.00%,170,41.00%,2016
Corey S. Nakatani,159,29,25,18,"$1,478,712.00","$9,300.00",18.00%,72,45.00%,2016
Russell A. Baze,396,102,92,62,"$1,478,488.00","$3,734.00",26.00%,256,65.00%,2016
Julien Couton,504,81,84,85,"$1,478,255.00","$2,933.00",16.00%,250,50.00%,2016
Gabriel Lagunes,1232,143,198,181,"$1,477,881.00","$1,200.00",12.00%,522,42.00%,2016
Tracy J. Hebert,451,91,71,55,"$1,477,361.00","$3,276.00",20.00%,217,48.00%,2016
Alejandro Gomez,620,90,95,101,"$1,472,158.00","$2,374.00",15.00%,286,46.00%,2016
Kevin Gomez,499,68,62,66,"$1,450,834.00","$2,907.00",14.00%,196,39.00%,2016
Irwin J. Rosendo,648,77,80,77,"$1,450,646.00","$2,239.00",12.00%,234,36.00%,2016
Joshua Navarro,215,37,40,20,"$1,448,302.00","$6,736.00",17.00%,97,45.00%,2016
Geovanni Franco,352,61,45,41,"$1,442,142.00","$4,097.00",17.00%,147,42.00%,2016
Jareth Loveberry,533,54,65,55,"$1,435,960.00","$2,694.00",10.00%,174,33.00%,2016
Enrique Portillo Gomez,547,70,67,79,"$1,434,619.00","$2,623.00",13.00%,216,39.00%,2016
Mario G. Pino,393,70,63,58,"$1,432,526.00","$3,645.00",18.00%,191,49.00%,2016
Feargal Lynch,295,55,46,36,"$1,429,913.00","$4,847.00",19.00%,137,46.00%,2016
Belen Quinonez,564,57,74,69,"$1,429,808.00","$2,535.00",10.00%,200,35.00%,2016
John Jacinto,494,97,80,61,"$1,408,080.00","$2,850.00",20.00%,238,48.00%,2016
John McKee,700,116,131,120,"$1,405,126.00","$2,007.00",17.00%,367,52.00%,2016
Charles C. Lopez,328,51,39,42,"$1,404,519.00","$4,282.00",16.00%,132,40.00%,2016
Perry Wayne Ouzts,920,148,129,112,"$1,404,434.00","$1,527.00",16.00%,389,42.00%,2016
Jomar Garcia,1142,208,210,222,"$1,395,167.00","$1,222.00",18.00%,640,56.00%,2016
Taylor B. Rice,426,58,78,68,"$1,394,229.00","$3,273.00",14.00%,204,48.00%,2016
David Michael Lopez,676,124,110,98,"$1,393,475.00","$2,061.00",18.00%,332,49.00%,2016
William Antongeorgi III,651,96,88,91,"$1,381,316.00","$2,122.00",15.00%,275,42.00%,2016
Oscar Gomez,651,110,93,104,"$1,377,034.00","$2,115.00",17.00%,307,47.00%,2016
Rico W. Walcott,388,109,85,69,"$1,371,719.00","$3,535.00",28.00%,263,68.00%,2016
Leslie Mawing,644,95,97,95,"$1,365,472.00","$2,120.00",15.00%,287,45.00%,2016
Scott Spieth,480,62,74,88,"$1,363,716.00","$2,841.00",13.00%,224,47.00%,2016
Emanuel Nieves,548,59,74,77,"$1,363,017.00","$2,487.00",11.00%,210,38.00%,2016
Edwin Rivera,333,37,36,48,"$1,344,737.00","$4,038.00",11.00%,121,36.00%,2016
Catalino Martinez,534,87,84,79,"$1,336,246.00","$2,502.00",16.00%,250,47.00%,2016
Gerald Almodovar,369,94,58,47,"$1,329,048.00","$3,602.00",25.00%,199,54.00%,2016
Elvin Gonzalez,507,80,78,76,"$1,328,373.00","$2,620.00",16.00%,234,46.00%,2016
Sasha Risenhoover,414,102,60,52,"$1,324,085.00","$3,198.00",25.00%,214,52.00%,2016
Alfredo Contreras,736,75,68,80,"$1,318,294.00","$1,791.00",10.00%,223,30.00%,2016
Julio E. Felix,530,75,72,79,"$1,316,825.00","$2,485.00",14.00%,226,43.00%,2016
